管理番号,管理名称,管理担当部課名,組織管理区分１名,利用者名,設置場所,設置場所詳細
24LA1C5534,EPC-iSIMローミングStep1_2503#4,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24LA1C5834,EPC-iSIMローミングStep2_2503#5,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24LA1E1382,EPC-iSIMローミングStep3_2503#6,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24LA1X8896,対向_REBOX_TypeA_2503#4,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24LA252001,DuoSIM-A2 25A ASN.1対応SW,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24LA258741,海外商用_EPC-iSIM_SW_RIC,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24LA2A6656,対向_IPNF_IPv4v6混在ライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24LA2L6396,海外商用検証_NetG_XS728_RIC,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24LA2Z1794,ECO_CUバンド切り替えライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24LA2Z1874,eNB24Bソフトウェア,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24MA071020,eNB試験シナリオ作成ツール(24B),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24MA1C5535,EPC-iSIMローミングStep1_2503#5,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24MA1C5835,EPC-iSIMローミングStep2_2503#6,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24MA1X8897,対向_REBOX_TypeB_2503#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24MA258742,海外商用_EPC-iSIM_SW_対向,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24MA2A2167,OREX SAI提案構成DT評価試験,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24MA2A6657,対向_IPNF_IPv4v6混在ライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24MA2L6397,海外商用検証_NetG_XS748_L1L2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24MA2Z1795,ECO_CUバンド切り替えライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24MA2Z1875,eNB(HD)24Bソフトウェア,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24NA0S3983,DuoSIM-5G シナリオパッケージ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24NA1C5536,EPC-iSIMローミングStep1_2503#6,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24NA1M2117,SAログ解析ツール(25A),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24NA1V9050,キーサイト負荷試験機SW_LTE_Ref,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24NA1X8898,対向_REBOX_TypeB_2503#2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24NA1Y0537,1号館(N101)コンセント設置工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24NA2A6658,対向_IPNF_IPv4v6混在ライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24NA2J7190,DuoSIM eCPRI LTE対応SW,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24NA2M5617,eNB試験シナリオ作成ツール(25A),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24NA2Z1796,ECO_CUバンド切り替えライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
